IP,MAC,BOOTFILE,TYPE
192.168.99.100,de:ea:db:ee:ee:ff,assets/generic/pxelinux.0,ubuntu
192.168.99.101,de:ea:db:ee:ee:ff,assets/generic/pxelinux.0,ubuntu
192.168.99.102,e2:37:36:e8:63:b5,assets/generic/pxelinux.0,ubuntu
192.168.99.103,e2:32:36:e8:63:b5,assets/generic/pxelinux.0,ubuntu
192.168.99.104,e2:33:36:e8:63:b5,assets/generic/pxelinux.0,ubuntu
192.168.99.103,e2:32:36:e8:63:b5,assets/generic/pxelinux.0,centos
192.168.99.104,e2:33:36:e8:63:b5,assets/generic/pxelinux.0,centos
192.168.99.200,52:54:00:8f:c1:32,assets/generic/pxelinux.0,centos
